release_month,count
1996-10-01,467
1996-11-01,472
1996-12-01,523
1997-01-01,2631
1997-02-01,383
1997-03-01,373
1997-04-01,402
1997-05-01,360
1997-06-01,462
1997-07-01,374
1997-08-01,400
1997-09-01,415
1997-10-01,546
1997-11-01,428
1997-12-01,553
1998-01-01,2624
1998-02-01,347
1998-03-01,372
1998-04-01,388
1998-05-01,383
1998-06-01,460
1998-07-01,386
1998-08-01,397
1998-09-01,476
1998-10-01,583
1998-11-01,404
1998-12-01,615
1999-01-01,2767
1999-02-01,372
1999-03-01,421
1999-04-01,401
1999-05-01,404
1999-06-01,483
1999-07-01,417
1999-08-01,390
1999-09-01,531
1999-10-01,649
1999-11-01,494
1999-12-01,606
2000-01-01,2677
2000-02-01,452
2000-03-01,481
2000-04-01,449
2000-05-01,434
2000-06-01,498
2000-07-01,410
2000-08-01,457
2000-09-01,521
2000-10-01,578
2000-11-01,554
2000-12-01,629
2001-01-01,2737
2001-02-01,487
2001-03-01,548
2001-04-01,476
2001-05-01,471
2001-06-01,534
2001-07-01,450
2001-08-01,472
2001-09-01,583
2001-10-01,733
2001-11-01,624
2001-12-01,709
2002-01-01,2713
2002-02-01,556
2002-03-01,615
2002-04-01,603
2002-05-01,544
2002-06-01,679
2002-07-01,503
2002-08-01,589
2002-09-01,692
2002-10-01,786
2002-11-01,646
2002-12-01,726
2003-01-01,3096
2003-02-01,535
2003-03-01,676
2003-04-01,647
2003-05-01,651
2003-06-01,694
2003-07-01,591
2003-08-01,597
2003-09-01,814
2003-10-01,860
2003-11-01,791
2003-12-01,769
2004-01-01,3449
2004-02-01,643
2004-03-01,682
2004-04-01,708
2004-05-01,670
2004-06-01,818
2004-07-01,614
2004-08-01,639
2004-09-01,903
2004-10-01,919
2004-11-01,861
2004-12-01,858
2005-01-01,3609
2005-02-01,673
2005-03-01,785
2005-04-01,806
2005-05-01,786
2005-06-01,889
2005-07-01,735
2005-08-01,696
2005-09-01,951
2005-10-01,1011
2005-11-01,967
2005-12-01,912
2006-01-01,3997
2006-02-01,721
2006-03-01,960
2006-04-01,803
2006-05-01,800
2006-06-01,1041
2006-07-01,778
2006-08-01,824
2006-09-01,1046
2006-10-01,1187
2006-11-01,1091
2006-12-01,972
2007-01-01,3738
2007-02-01,799
2007-03-01,1026
2007-04-01,972
2007-05-01,916
2007-06-01,1073
2007-07-01,855
2007-08-01,844
2007-09-01,1109
2007-10-01,1306
2007-11-01,1113
2007-12-01,974
2008-01-01,3833
2008-02-01,898
2008-03-01,994
2008-04-01,1000
2008-05-01,891
2008-06-01,1104
2008-07-01,851
2008-08-01,1008
2008-09-01,1165
2008-10-01,1437
2008-11-01,1204
2008-12-01,1134
2009-01-01,4071
2009-02-01,906
2009-03-01,1046
2009-04-01,1072
2009-05-01,1025
2009-06-01,1155
2009-07-01,967
2009-08-01,841
2009-09-01,1387
2009-10-01,1561
2009-11-01,1319
2009-12-01,1138
2010-01-01,4014
2010-02-01,989
2010-03-01,1066
2010-04-01,1121
2010-05-01,1070
2010-06-01,1255
2010-07-01,986
2010-08-01,994
2010-09-01,1313
2010-10-01,1681
2010-11-01,1372
2010-12-01,1243
2011-01-01,4047
2011-02-01,979
2011-03-01,1307
2011-04-01,1296
2011-05-01,1246
2011-06-01,1346
2011-07-01,1104
2011-08-01,1032
2011-09-01,1569
2011-10-01,1688
2011-11-01,1645
2011-12-01,1315
2012-01-01,4081
2012-02-01,1175
2012-03-01,1586
2012-04-01,1371
2012-05-01,1304
2012-06-01,1569
2012-07-01,1178
2012-08-01,1277
2012-09-01,1614
2012-10-01,1874
2012-11-01,1735
2012-12-01,1494
2013-01-01,4379
2013-02-01,1258
2013-03-01,1577
2013-04-01,1585
2013-05-01,1548
2013-06-01,1695
2013-07-01,1337
2013-08-01,1434
2013-09-01,1937
2013-10-01,2310
2013-11-01,1925
2013-12-01,1742
2014-01-01,4392
2014-02-01,1386
2014-03-01,1713
2014-04-01,1814
2014-05-01,1692
2014-06-01,1815
2014-07-01,1427
2014-08-01,1489
2014-09-01,2024
2014-10-01,2547
2014-11-01,2084
2014-12-01,1907
2015-01-01,4117
2015-02-01,1544
2015-03-01,1916
2015-04-01,1942
2015-05-01,1837
2015-06-01,1956
2015-07-01,1644
2015-08-01,1609
2015-09-01,2218
2015-10-01,2609
2015-11-01,2191
2015-12-01,2010
2016-01-01,4102
2016-02-01,1699
2016-03-01,1907
2016-04-01,2170
2016-05-01,1921
2016-06-01,2084
2016-07-01,1687
2016-08-01,1707
2016-09-01,2425
2016-10-01,2725
2016-11-01,2410
2016-12-01,2214
2017-01-01,4391
2017-02-01,1666
2017-03-01,2397
2017-04-01,2251
2017-05-01,2127
2017-06-01,2517
2017-07-01,1902
2017-08-01,1967
